status,search_stage,candidate_id,algorithm_key,algorithm_group,algorithm_name,variant,server_accuracy_mean,server_accuracy_margin_of_error,validation_loss_mean,validation_loss_margin_of_error,elapsed_seconds,error,step_size,num_local_epochs,mu,server_step_size,beta,beta_1,beta_2,tau,use_momentum,use_prox,use_server_momentum,gamma,rho,local_solver,solver_args.beta1,solver_args.beta2,solver_args.epsilon,solver_args.momentum,alpha,eta,skip_probability
ok,grid,grid_FedLT_FedLT_nesterov_lr_0_001_e3_rho_0_1_m_0_3,fedlt,FedLT,FedLT,nesterov_lr_0.001_e3_rho_0.1_m_0.3,0.057770961145194276,0.0,3.665798900127411,0.0,109.169,,0.001,3,,,,,,,,,,,0.1,nesterov,,,,0.3,,,
ok,grid,grid_FedLT_FedLT_nesterov_lr_0_001_e3_rho_0_1_m_0_5,fedlt,FedLT,FedLT,nesterov_lr_0.001_e3_rho_0.1_m_0.5,0.057770961145194276,0.0,3.6504945611953734,0.0,106.809,,0.001,3,,,,,,,,,,,0.1,nesterov,,,,0.5,,,
ok,grid,grid_FedLT_FedLT_nesterov_lr_0_001_e3_rho_0_1_m_0_7,fedlt,FedLT,FedLT,nesterov_lr_0.001_e3_rho_0.1_m_0.7,0.057770961145194276,0.0,3.641911516189575,0.0,107.953,,0.001,3,,,,,,,,,,,0.1,nesterov,,,,0.7,,,
ok,grid,grid_FedLT_FedLT_nesterov_lr_0_001_e3_rho_1_m_0_3,fedlt,FedLT,FedLT,nesterov_lr_0.001_e3_rho_1_m_0.3,0.057770961145194276,0.0,3.6531570672988893,0.0,107.895,,0.001,3,,,,,,,,,,,1.0,nesterov,,,,0.3,,,
ok,grid,grid_FedLT_FedLT_nesterov_lr_0_001_e3_rho_1_m_0_5,fedlt,FedLT,FedLT,nesterov_lr_0.001_e3_rho_1_m_0.5,0.057770961145194276,0.0,3.616438057422638,0.0,108.0,,0.001,3,,,,,,,,,,,1.0,nesterov,,,,0.5,,,
ok,grid,grid_FedLT_FedLT_nesterov_lr_0_001_e3_rho_1_m_0_7,fedlt,FedLT,FedLT,nesterov_lr_0.001_e3_rho_1_m_0.7,0.057770961145194276,0.0,3.588005769252777,0.0,107.916,,0.001,3,,,,,,,,,,,1.0,nesterov,,,,0.7,,,
ok,grid,grid_FedLT_FedLT_nesterov_lr_0_001_e5_rho_0_1_m_0_3,fedlt,FedLT,FedLT,nesterov_lr_0.001_e5_rho_0.1_m_0.3,0.057770961145194276,0.0,3.639938154220581,0.0,175.97,,0.001,5,,,,,,,,,,,0.1,nesterov,,,,0.3,,,
ok,grid,grid_FedLT_FedLT_nesterov_lr_0_001_e5_rho_0_1_m_0_5,fedlt,FedLT,FedLT,nesterov_lr_0.001_e5_rho_0.1_m_0.5,0.057770961145194276,0.0,3.635514011383057,0.0,174.663,,0.001,5,,,,,,,,,,,0.1,nesterov,,,,0.5,,,
ok,grid,grid_FedLT_FedLT_nesterov_lr_0_001_e5_rho_0_1_m_0_7,fedlt,FedLT,FedLT,nesterov_lr_0.001_e5_rho_0.1_m_0.7,0.05828220858895705,0.0,3.632887907028198,0.0,176.807,,0.001,5,,,,,,,,,,,0.1,nesterov,,,,0.7,,,
ok,grid,grid_FedLT_FedLT_nesterov_lr_0_001_e5_rho_1_m_0_3,fedlt,FedLT,FedLT,nesterov_lr_0.001_e5_rho_1_m_0.3,0.0950920245398773,0.0,3.5750625681877137,0.0,176.911,,0.001,5,,,,,,,,,,,1.0,nesterov,,,,0.3,,,
ok,grid,grid_FedLT_FedLT_nesterov_lr_0_001_e5_rho_1_m_0_5,fedlt,FedLT,FedLT,nesterov_lr_0.001_e5_rho_1_m_0.5,0.05086912065439673,0.0,3.5082411980628967,0.0,198.336,,0.001,5,,,,,,,,,,,1.0,nesterov,,,,0.5,,,
ok,grid,grid_FedLT_FedLT_nesterov_lr_0_001_e5_rho_1_m_0_7,fedlt,FedLT,FedLT,nesterov_lr_0.001_e5_rho_1_m_0.7,0.05061349693251534,0.0,3.452963399887085,0.0,239.355,,0.001,5,,,,,,,,,,,1.0,nesterov,,,,0.7,,,
ok,grid,grid_FedLT_FedLT_nesterov_lr_0_005_e3_rho_0_1_m_0_3,fedlt,FedLT,FedLT,nesterov_lr_0.005_e3_rho_0.1_m_0.3,0.057770961145194276,0.0,3.6283968329429626,0.0,145.527,,0.005,3,,,,,,,,,,,0.1,nesterov,,,,0.3,,,
ok,grid,grid_FedLT_FedLT_nesterov_lr_0_005_e3_rho_0_1_m_0_5,fedlt,FedLT,FedLT,nesterov_lr_0.005_e3_rho_0.1_m_0.5,0.05802658486707567,0.0,3.629019160270691,0.0,146.737,,0.005,3,,,,,,,,,,,0.1,nesterov,,,,0.5,,,
