split,center_id,center_name,row_index,label,class_name
train,0,BCN,11,4,BKL
train,0,BCN,17,7,SCC
train,0,BCN,47,3,AK
train,0,BCN,55,6,VASC
train,0,BCN,65,2,BCC
train,0,BCN,89,2,BCC
train,0,BCN,99,4,BKL
train,0,BCN,102,2,BCC
train,0,BCN,112,1,NV
train,0,BCN,150,0,MEL
train,0,BCN,169,1,NV
train,0,BCN,173,0,MEL
train,0,BCN,197,0,MEL
train,0,BCN,207,2,BCC
train,0,BCN,219,4,BKL
train,0,BCN,231,3,AK
train,0,BCN,243,4,BKL
train,0,BCN,261,0,MEL
train,0,BCN,263,0,MEL
train,0,BCN,266,1,NV
train,0,BCN,280,4,BKL
train,0,BCN,292,2,BCC
train,0,BCN,301,0,MEL
train,0,BCN,304,0,MEL
train,0,BCN,307,2,BCC
train,0,BCN,308,2,BCC
train,0,BCN,309,0,MEL
train,0,BCN,327,0,MEL
train,0,BCN,330,1,NV
train,0,BCN,343,1,NV
train,0,BCN,347,0,MEL
train,0,BCN,383,0,MEL
train,0,BCN,395,1,NV
train,0,BCN,406,1,NV
train,0,BCN,412,0,MEL
train,0,BCN,447,2,BCC
train,0,BCN,452,4,BKL
train,0,BCN,462,2,BCC
train,0,BCN,473,0,MEL
train,0,BCN,474,2,BCC
train,0,BCN,480,0,MEL
train,0,BCN,490,1,NV
train,0,BCN,500,2,BCC
train,0,BCN,502,1,NV
train,0,BCN,507,1,NV
train,0,BCN,509,2,BCC
train,0,BCN,511,1,NV
train,0,BCN,524,7,SCC
train,0,BCN,540,0,MEL
train,0,BCN,541,1,NV
train,0,BCN,552,4,BKL
train,0,BCN,558,1,NV
train,0,BCN,561,1,NV
train,0,BCN,570,1,NV
train,0,BCN,580,7,SCC
train,0,BCN,597,1,NV
train,0,BCN,598,1,NV
train,0,BCN,626,1,NV
train,0,BCN,631,0,MEL
train,0,BCN,644,1,NV
train,0,BCN,655,1,NV
train,0,BCN,656,4,BKL
train,0,BCN,668,1,NV
train,0,BCN,674,2,BCC
train,0,BCN,683,4,BKL
train,0,BCN,697,0,MEL
train,0,BCN,702,1,NV
train,0,BCN,710,1,NV
train,0,BCN,718,4,BKL
train,0,BCN,724,4,BKL
train,0,BCN,746,2,BCC
train,0,BCN,766,1,NV
train,0,BCN,772,0,MEL
train,0,BCN,788,1,NV
train,0,BCN,796,1,NV
train,0,BCN,831,3,AK
train,0,BCN,839,0,MEL
train,0,BCN,844,2,BCC
train,0,BCN,847,1,NV
train,0,BCN,896,0,MEL
train,0,BCN,900,1,NV
train,0,BCN,909,1,NV
train,0,BCN,914,1,NV
train,0,BCN,918,4,BKL
train,0,BCN,919,2,BCC
train,0,BCN,929,2,BCC
train,0,BCN,946,1,NV
train,0,BCN,951,0,MEL
train,0,BCN,964,1,NV
train,0,BCN,981,2,BCC
train,0,BCN,987,0,MEL
train,0,BCN,999,1,NV
train,0,BCN,1000,7,SCC
train,0,BCN,1016,1,NV
train,0,BCN,1020,0,MEL
train,0,BCN,1023,1,NV
train,0,BCN,1029,0,MEL
train,0,BCN,1037,0,MEL
train,0,BCN,1047,0,MEL
train,0,BCN,1048,0,MEL
train,0,BCN,1059,1,NV
train,0,BCN,1080,0,MEL
train,0,BCN,1102,1,NV
train,0,BCN,1132,2,BCC
train,0,BCN,1146,0,MEL
train,0,BCN,1170,4,BKL
train,0,BCN,1182,1,NV
train,0,BCN,1189,1,NV
train,0,BCN,1194,4,BKL
train,0,BCN,1200,2,BCC
train,0,BCN,1202,0,MEL
train,0,BCN,1205,2,BCC
train,0,BCN,1207,1,NV
train,0,BCN,1214,4,BKL
train,0,BCN,1232,0,MEL
train,0,BCN,1260,4,BKL
train,0,BCN,1262,1,NV
train,0,BCN,1264,2,BCC
train,0,BCN,1266,1,NV
train,0,BCN,1273,2,BCC
train,0,BCN,1286,1,NV
train,0,BCN,1297,0,MEL
train,0,BCN,1315,0,MEL
train,0,BCN,1317,1,NV
train,0,BCN,1320,2,BCC
train,0,BCN,1330,1,NV
train,0,BCN,1345,1,NV
train,0,BCN,1348,0,MEL
train,0,BCN,1359,1,NV
train,0,BCN,1366,5,DF
train,0,BCN,1368,2,BCC
train,0,BCN,1379,2,BCC
train,0,BCN,1392,0,MEL
train,0,BCN,1400,2,BCC
train,0,BCN,1410,1,NV
train,0,BCN,1417,2,BCC
train,0,BCN,1418,1,NV
train,0,BCN,1419,2,BCC
train,0,BCN,1421,0,MEL
train,0,BCN,1424,1,NV
train,0,BCN,1451,3,AK
train,0,BCN,1464,3,AK
train,0,BCN,1466,0,MEL
train,0,BCN,1476,3,AK
train,0,BCN,1494,4,BKL
train,0,BCN,1523,2,BCC
train,0,BCN,1541,3,AK
train,0,BCN,1561,3,AK
train,0,BCN,1562,1,NV
train,0,BCN,1570,3,AK
train,0,BCN,1575,2,BCC
train,0,BCN,1590,2,BCC
train,0,BCN,1595,0,MEL
train,0,BCN,1601,4,BKL
train,0,BCN,1606,1,NV
train,0,BCN,1610,0,MEL
train,0,BCN,1612,4,BKL
train,0,BCN,1618,1,NV
train,0,BCN,1629,0,MEL
train,0,BCN,1632,2,BCC
train,0,BCN,1633,1,NV
train,0,BCN,1648,1,NV
train,0,BCN,1649,1,NV
train,0,BCN,1652,0,MEL
train,0,BCN,1655,4,BKL
train,0,BCN,1666,1,NV
train,0,BCN,1696,1,NV
train,0,BCN,1706,2,BCC
train,0,BCN,1719,1,NV
train,0,BCN,1724,1,NV
train,0,BCN,1744,0,MEL
train,0,BCN,1770,1,NV
train,0,BCN,1771,1,NV
train,0,BCN,1774,2,BCC
train,0,BCN,1778,0,MEL
train,0,BCN,1809,2,BCC
train,0,BCN,1810,2,BCC
train,0,BCN,1816,2,BCC
train,0,BCN,1818,1,NV
train,0,BCN,1833,1,NV
train,0,BCN,1834,2,BCC
train,0,BCN,1879,0,MEL
train,0,BCN,1886,7,SCC
train,0,BCN,1895,3,AK
train,0,BCN,1908,1,NV
train,0,BCN,1913,0,MEL
train,0,BCN,1941,4,BKL
train,0,BCN,1942,1,NV
train,0,BCN,1987,0,MEL
train,0,BCN,1993,2,BCC
train,0,BCN,2003,1,NV
train,0,BCN,2014,2,BCC
train,0,BCN,2034,1,NV
train,0,BCN,2038,1,NV
train,0,BCN,2043,5,DF
train,0,BCN,2044,7,SCC
train,0,BCN,2051,0,MEL
train,0,BCN,2060,1,NV
train,0,BCN,2065,0,MEL
train,0,BCN,2092,5,DF
train,0,BCN,2094,7,SCC
train,0,BCN,2111,2,BCC
train,0,BCN,2126,2,BCC
train,0,BCN,2145,1,NV
