status,search_stage,candidate_id,algorithm_key,algorithm_group,algorithm_name,variant,server_balanced_accuracy_mean,server_balanced_accuracy_margin_of_error,server_accuracy_mean,validation_loss_mean,validation_loss_margin_of_error,elapsed_seconds,error,step_size,num_local_epochs,mu,server_step_size,beta,beta_1,beta_2,tau,use_momentum,use_prox,use_server_momentum,gamma,rho,local_solver,solver_args.beta1,solver_args.beta2,solver_args.epsilon,solver_args.momentum,alpha,eta,skip_probability
ok,reference,reference_FedPD_FedPD_reference_0,fedpd,FedPD,FedPD,reference_0,0.7201252026963543,0.0,0.7491261091691315,0.15588083826452315,0.0,4385.84,,0.03,5,,,,,,,,,,,,,,,,,,0.3,0.2
ok,random,random_FedPD_FedPD_random_00,fedpd,FedPD,FedPD,random_00,0.5255720181454486,0.0,0.6429147620328045,2.581163539423975,0.0,998.962,,0.006471621989857448,1,,,,,,,,,,,,,,,,,,0.7711703837836043,0.0
ok,random,random_FedPD_FedPD_random_01,fedpd,FedPD,FedPD,random_01,0.6457849506517777,0.0,0.6063457918795375,1.4478308161212208,0.0,1845.445,,0.004199812982497644,2,,,,,,,,,,,,,,,,,,0.01831638011897934,0.0
ok,random,random_FedPD_FedPD_random_02,fedpd,FedPD,FedPD,random_02,0.5641062678705792,0.0,0.6055391234202743,2.0375852931150615,0.0,1840.778,,0.002231318357983593,2,,,,,,,,,,,,,,,,,,0.4300976356176369,0.0
ok,random,random_FedPD_FedPD_random_03,fedpd,FedPD,FedPD,random_03,0.7098277115449068,0.0,0.6431836515192256,0.42111326571544794,0.0,2692.197,,0.01123440788706345,3,,,,,,,,,,,,,,,,,,0.23734924317820427,0.2
ok,random,random_FedPD_FedPD_random_04,fedpd,FedPD,FedPD,random_04,0.6330305205604394,0.0,0.5877924173164829,2.0350224333539497,0.0,999.432,,0.006635284888488768,1,,,,,,,,,,,,,,,,,,0.013125841796242032,0.1
ok,random,random_FedPD_FedPD_random_05,fedpd,FedPD,FedPD,random_05,0.6917356356723442,0.0,0.7095993546652326,0.30041695097498605,0.0,2681.689,,0.03418414878553274,3,,,,,,,,,,,,,,,,,,0.11377086421969286,0.2
ok,random,random_FedPD_FedPD_random_06,fedpd,FedPD,FedPD,random_06,0.6380394822573241,0.0,0.6421080935735413,1.2051486513961933,0.0,4387.648,,0.0015978404963054485,5,,,,,,,,,,,,,,,,,,0.11521438929081532,0.0
ok,random,random_FedPD_FedPD_random_07,fedpd,FedPD,FedPD,random_07,0.6233405371105865,0.0,0.6700726001613337,1.330217832990221,0.0,1828.802,,0.0031731658229349155,2,,,,,,,,,,,,,,,,,,0.1439744296571893,0.1
ok,grid,grid_FedPD_FedPD_grid_lr_0p015_e4,fedpd,FedPD,FedPD,grid_lr_0p015_e4,0.7102521151472496,0.0,0.6552836784081743,0.44218734230357337,0.0,3565.92,,0.015,4,,,,,,,,,,,,,,,,,,0.3,0.2
ok,grid,grid_FedPD_FedPD_grid_lr_0p015_e5,fedpd,FedPD,FedPD,grid_lr_0p015_e5,0.709813671758085,0.0,0.697768217262705,0.3499644774799098,0.0,4390.785,,0.015,5,,,,,,,,,,,,,,,,,,0.3,0.2
ok,grid,grid_FedPD_FedPD_grid_lr_0p03_e4,fedpd,FedPD,FedPD,grid_lr_0p03_e4,0.7157173254961257,0.0,0.7052971228824952,0.3987252989120822,0.0,3538.102,,0.03,4,,,,,,,,,,,,,,,,,,0.3,0.2
ok,grid,grid_FedPD_FedPD_grid_lr_0p03_e5,fedpd,FedPD,FedPD,grid_lr_0p03_e5,0.7235576454276756,0.0,0.7200860446356547,0.15144119876059456,0.0,4374.148,,0.03,5,,,,,,,,,,,,,,,,,,0.3,0.2
ok,grid,grid_FedPD_FedPD_grid_lr_0p05_e4,fedpd,FedPD,FedPD,grid_lr_0p05_e4,0.6726299554361034,0.0,0.6636192524872278,0.4507821230428941,0.0,3535.646,,0.05,4,,,,,,,,,,,,,,,,,,0.3,0.2
ok,grid,grid_FedPD_FedPD_grid_lr_0p05_e5,fedpd,FedPD,FedPD,grid_lr_0p05_e5,0.6915186869009532,0.0,0.6899704221564937,0.44862213787876953,0.0,4380.417,,0.05,5,,,,,,,,,,,,,,,,,,0.3,0.2
