client_index,writer_id,total_samples,n_classes,train_samples,test_samples,label_histogram
0,f0028_05,399,60,319,80,"{""0"": 13, ""1"": 12, ""2"": 12, ""3"": 13, ""4"": 13, ""5"": 10, ""6"": 13, ""7"": 12, ""8"": 12, ""9"": 13, ""10"": 2, ""11"": 2, ""12"": 12, ""13"": 2, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 11, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 2, ""24"": 26, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 22, ""29"": 5, ""30"": 14, ""31"": 1, ""32"": 4, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 14, ""37"": 4, ""38"": 1, ""39"": 10, ""40"": 4, ""41"": 1, ""42"": 3, ""43"": 10, ""44"": 2, ""46"": 1, ""47"": 13, ""48"": 1, ""49"": 15, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 18, ""54"": 1, ""55"": 26, ""56"": 2, ""57"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
1,f0054_14,428,60,342,86,"{""0"": 12, ""1"": 13, ""2"": 12, ""3"": 12, ""4"": 12, ""5"": 12, ""6"": 13, ""7"": 12, ""8"": 12, ""9"": 13, ""10"": 6, ""11"": 1, ""12"": 9, ""13"": 2, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 20, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 7, ""23"": 3, ""24"": 25, ""25"": 6, ""26"": 1, ""28"": 22, ""29"": 5, ""30"": 11, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 4, ""36"": 9, ""37"": 4, ""38"": 1, ""39"": 10, ""40"": 36, ""41"": 1, ""42"": 3, ""43"": 9, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 8, ""48"": 1, ""49"": 17, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 20, ""54"": 1, ""55"": 26, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
2,f0078_48,368,59,294,74,"{""0"": 10, ""1"": 13, ""2"": 12, ""3"": 13, ""4"": 11, ""5"": 12, ""6"": 11, ""7"": 13, ""8"": 12, ""9"": 12, ""10"": 3, ""11"": 2, ""12"": 9, ""13"": 3, ""14"": 3, ""15"": 10, ""16"": 1, ""17"": 1, ""18"": 8, ""19"": 3, ""20"": 1, ""21"": 3, ""22"": 7, ""23"": 7, ""24"": 20, ""25"": 5, ""27"": 2, ""28"": 20, ""29"": 3, ""30"": 12, ""31"": 4, ""32"": 3, ""33"": 1, ""34"": 5, ""35"": 1, ""36"": 10, ""37"": 4, ""38"": 1, ""39"": 9, ""40"": 29, ""41"": 1, ""42"": 2, ""43"": 4, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 8, ""49"": 9, ""50"": 1, ""52"": 1, ""53"": 8, ""54"": 1, ""55"": 15, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
3,f0199_01,433,61,346,87,"{""0"": 12, ""1"": 13, ""2"": 12, ""3"": 13, ""4"": 10, ""5"": 12, ""6"": 12, ""7"": 13, ""8"": 12, ""9"": 12, ""10"": 16, ""11"": 4, ""12"": 8, ""13"": 11, ""14"": 32, ""15"": 10, ""16"": 1, ""17"": 9, ""18"": 4, ""19"": 2, ""20"": 1, ""21"": 10, ""22"": 9, ""23"": 17, ""24"": 27, ""25"": 7, ""27"": 21, ""28"": 22, ""29"": 26, ""30"": 10, ""31"": 2, ""32"": 2, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 1, ""37"": 1, ""38"": 1, ""39"": 1, ""40"": 1, ""41"": 1, ""42"": 2, ""43"": 1, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 23, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 1, ""54"": 1, ""55"": 6, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
4,f0260_38,381,59,305,76,"{""0"": 12, ""1"": 13, ""2"": 13, ""3"": 12, ""4"": 13, ""5"": 10, ""6"": 12, ""7"": 12, ""8"": 13, ""9"": 11, ""10"": 2, ""11"": 2, ""12"": 9, ""13"": 1, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 16, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 4, ""23"": 3, ""24"": 19, ""25"": 8, ""26"": 1, ""27"": 1, ""28"": 15, ""29"": 4, ""30"": 11, ""31"": 2, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 11, ""37"": 4, ""38"": 1, ""39"": 9, ""40"": 23, ""41"": 1, ""42"": 2, ""43"": 8, ""44"": 2, ""46"": 1, ""47"": 15, ""49"": 12, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 17, ""54"": 1, ""55"": 22, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
5,f0261_06,583,61,466,117,"{""0"": 13, ""1"": 12, ""2"": 12, ""3"": 13, ""4"": 11, ""5"": 13, ""6"": 13, ""7"": 13, ""8"": 11, ""9"": 13, ""10"": 11, ""11"": 5, ""12"": 7, ""13"": 13, ""14"": 23, ""15"": 18, ""16"": 1, ""17"": 7, ""18"": 18, ""19"": 3, ""20"": 1, ""21"": 9, ""22"": 10, ""23"": 18, ""24"": 40, ""25"": 12, ""26"": 1, ""27"": 17, ""28"": 33, ""29"": 44, ""30"": 20, ""31"": 2, ""32"": 5, ""33"": 1, ""34"": 7, ""35"": 1, ""36"": 10, ""37"": 2, ""38"": 1, ""39"": 8, ""40"": 31, ""41"": 1, ""42"": 2, ""43"": 10, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 18, ""48"": 1, ""49"": 10, ""50"": 1, ""52"": 1, ""53"": 19, ""54"": 1, ""55"": 7, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
6,f0319_32,320,54,256,64,"{""0"": 9, ""1"": 13, ""2"": 9, ""3"": 9, ""4"": 7, ""5"": 7, ""6"": 8, ""7"": 9, ""8"": 7, ""9"": 5, ""10"": 3, ""11"": 2, ""12"": 6, ""13"": 1, ""14"": 1, ""15"": 5, ""17"": 2, ""18"": 9, ""19"": 3, ""21"": 2, ""22"": 5, ""23"": 13, ""24"": 21, ""25"": 4, ""26"": 1, ""27"": 3, ""28"": 15, ""29"": 6, ""30"": 8, ""31"": 3, ""32"": 2, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 5, ""37"": 5, ""38"": 1, ""39"": 7, ""40"": 27, ""41"": 1, ""42"": 3, ""43"": 7, ""47"": 18, ""48"": 1, ""49"": 1, ""51"": 1, ""52"": 1, ""53"": 14, ""54"": 1, ""55"": 20, ""56"": 1, ""57"": 1, ""59"": 1, ""60"": 1}"
7,f0348_46,359,58,287,72,"{""0"": 9, ""1"": 12, ""2"": 12, ""3"": 11, ""4"": 12, ""5"": 11, ""6"": 10, ""7"": 11, ""8"": 9, ""9"": 10, ""10"": 5, ""11"": 4, ""12"": 10, ""13"": 4, ""14"": 2, ""15"": 7, ""16"": 1, ""17"": 2, ""18"": 7, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 18, ""25"": 7, ""26"": 1, ""27"": 14, ""28"": 20, ""29"": 8, ""30"": 8, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 5, ""37"": 1, ""38"": 1, ""39"": 8, ""40"": 25, ""43"": 4, ""44"": 1, ""46"": 1, ""47"": 21, ""48"": 1, ""49"": 10, ""50"": 1, ""51"": 1, ""52"": 3, ""53"": 1, ""54"": 1, ""55"": 17, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
8,f0364_10,325,47,260,65,"{""0"": 11, ""1"": 13, ""2"": 13, ""3"": 12, ""4"": 10, ""5"": 12, ""6"": 12, ""7"": 13, ""8"": 13, ""9"": 10, ""10"": 2, ""11"": 2, ""12"": 7, ""13"": 3, ""14"": 1, ""15"": 6, ""16"": 1, ""17"": 1, ""18"": 11, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 7, ""23"": 4, ""24"": 17, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 21, ""29"": 4, ""30"": 10, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 5, ""37"": 3, ""39"": 9, ""40"": 29, ""42"": 2, ""43"": 2, ""47"": 13, ""49"": 6, ""52"": 1, ""53"": 6, ""55"": 8}"
9,f0385_18,380,60,304,76,"{""0"": 12, ""1"": 12, ""2"": 13, ""3"": 12, ""4"": 6, ""5"": 9, ""6"": 11, ""7"": 13, ""8"": 11, ""9"": 12, ""10"": 2, ""11"": 3, ""12"": 8, ""13"": 3, ""14"": 1, ""15"": 4, ""16"": 1, ""17"": 1, ""18"": 11, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 6, ""23"": 3, ""24"": 24, ""25"": 7, ""26"": 1, ""27"": 3, ""28"": 17, ""29"": 19, ""30"": 9, ""31"": 5, ""32"": 2, ""34"": 4, ""35"": 1, ""36"": 7, ""37"": 3, ""38"": 1, ""39"": 8, ""40"": 20, ""41"": 1, ""42"": 2, ""43"": 8, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 25, ""48"": 1, ""49"": 13, ""51"": 1, ""52"": 2, ""53"": 16, ""54"": 1, ""55"": 11, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
