client_index,writer_id,total_samples,n_classes,train_samples,test_samples,label_histogram
0,f0059_21,361,58,289,72,"{""0"": 13, ""1"": 12, ""2"": 12, ""3"": 13, ""4"": 13, ""5"": 13, ""6"": 11, ""7"": 12, ""8"": 12, ""9"": 12, ""10"": 6, ""11"": 5, ""12"": 8, ""13"": 4, ""14"": 17, ""15"": 10, ""16"": 1, ""17"": 4, ""18"": 1, ""19"": 2, ""21"": 4, ""22"": 7, ""23"": 16, ""24"": 22, ""25"": 7, ""26"": 1, ""27"": 14, ""28"": 17, ""29"": 25, ""30"": 10, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 1, ""37"": 1, ""38"": 1, ""39"": 1, ""40"": 2, ""41"": 1, ""42"": 1, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 23, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 1, ""54"": 1, ""55"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
1,f0078_48,368,59,294,74,"{""0"": 10, ""1"": 13, ""2"": 12, ""3"": 13, ""4"": 11, ""5"": 12, ""6"": 11, ""7"": 13, ""8"": 12, ""9"": 12, ""10"": 3, ""11"": 2, ""12"": 9, ""13"": 3, ""14"": 3, ""15"": 10, ""16"": 1, ""17"": 1, ""18"": 8, ""19"": 3, ""20"": 1, ""21"": 3, ""22"": 7, ""23"": 7, ""24"": 20, ""25"": 5, ""27"": 2, ""28"": 20, ""29"": 3, ""30"": 12, ""31"": 4, ""32"": 3, ""33"": 1, ""34"": 5, ""35"": 1, ""36"": 10, ""37"": 4, ""38"": 1, ""39"": 9, ""40"": 29, ""41"": 1, ""42"": 2, ""43"": 4, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 8, ""49"": 9, ""50"": 1, ""52"": 1, ""53"": 8, ""54"": 1, ""55"": 15, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
2,f0107_06,391,62,313,78,"{""0"": 13, ""1"": 9, ""2"": 12, ""3"": 13, ""4"": 13, ""5"": 12, ""6"": 11, ""7"": 11, ""8"": 13, ""9"": 12, ""10"": 2, ""11"": 2, ""12"": 7, ""13"": 2, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 7, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 2, ""24"": 25, ""25"": 5, ""26"": 1, ""27"": 1, ""28"": 20, ""29"": 4, ""30"": 10, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 5, ""35"": 1, ""36"": 10, ""37"": 4, ""38"": 1, ""39"": 10, ""40"": 18, ""41"": 1, ""42"": 2, ""43"": 10, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 13, ""48"": 1, ""49"": 15, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 20, ""54"": 1, ""55"": 27, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
3,f0108_12,414,60,331,83,"{""0"": 12, ""1"": 13, ""2"": 11, ""3"": 12, ""4"": 12, ""5"": 12, ""6"": 12, ""7"": 12, ""8"": 12, ""9"": 10, ""10"": 14, ""11"": 4, ""12"": 8, ""13"": 9, ""14"": 27, ""15"": 8, ""16"": 1, ""17"": 11, ""18"": 8, ""19"": 1, ""20"": 1, ""21"": 10, ""22"": 8, ""23"": 17, ""24"": 27, ""25"": 5, ""27"": 19, ""28"": 22, ""29"": 28, ""30"": 11, ""31"": 4, ""32"": 3, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 1, ""37"": 1, ""38"": 1, ""39"": 1, ""40"": 1, ""42"": 1, ""43"": 1, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 17, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 4, ""54"": 1, ""55"": 1, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
4,f0118_07,408,58,326,82,"{""0"": 11, ""1"": 12, ""2"": 13, ""3"": 13, ""4"": 11, ""5"": 12, ""6"": 13, ""7"": 13, ""8"": 13, ""9"": 11, ""10"": 2, ""11"": 2, ""12"": 8, ""14"": 2, ""15"": 6, ""16"": 1, ""17"": 1, ""18"": 14, ""19"": 1, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 23, ""25"": 7, ""26"": 1, ""28"": 21, ""29"": 4, ""30"": 10, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 1, ""35"": 1, ""36"": 14, ""37"": 4, ""38"": 1, ""39"": 10, ""40"": 36, ""41"": 1, ""42"": 1, ""43"": 6, ""44"": 1, ""46"": 1, ""47"": 14, ""49"": 16, ""50"": 1, ""51"": 1, ""52"": 4, ""53"": 19, ""54"": 1, ""55"": 23, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
5,f0122_45,301,53,241,60,"{""0"": 11, ""1"": 9, ""2"": 8, ""3"": 11, ""4"": 9, ""5"": 10, ""6"": 11, ""7"": 8, ""8"": 9, ""9"": 7, ""10"": 2, ""11"": 1, ""12"": 7, ""14"": 1, ""15"": 6, ""17"": 1, ""18"": 10, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 4, ""23"": 1, ""24"": 14, ""25"": 9, ""27"": 1, ""28"": 20, ""29"": 2, ""30"": 3, ""31"": 6, ""32"": 4, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 2, ""37"": 2, ""39"": 6, ""40"": 19, ""41"": 2, ""42"": 4, ""43"": 2, ""44"": 3, ""46"": 1, ""47"": 25, ""48"": 1, ""49"": 7, ""52"": 2, ""53"": 13, ""54"": 1, ""55"": 14, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
6,f0128_00,332,51,266,66,"{""0"": 11, ""1"": 12, ""2"": 8, ""3"": 11, ""4"": 8, ""5"": 7, ""6"": 7, ""7"": 12, ""8"": 7, ""9"": 11, ""10"": 7, ""11"": 2, ""12"": 8, ""13"": 5, ""14"": 27, ""15"": 8, ""17"": 4, ""18"": 5, ""19"": 3, ""20"": 1, ""21"": 9, ""22"": 6, ""23"": 17, ""24"": 22, ""25"": 10, ""26"": 1, ""27"": 18, ""28"": 16, ""29"": 15, ""30"": 8, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 2, ""36"": 1, ""37"": 1, ""40"": 1, ""41"": 1, ""44"": 2, ""45"": 1, ""46"": 1, ""47"": 18, ""48"": 1, ""50"": 1, ""53"": 1, ""54"": 1, ""55"": 3, ""57"": 1, ""58"": 1, ""59"": 1, ""61"": 1}"
7,f0201_34,342,59,274,68,"{""0"": 12, ""1"": 12, ""2"": 11, ""3"": 10, ""4"": 10, ""5"": 7, ""6"": 10, ""7"": 11, ""8"": 11, ""9"": 8, ""10"": 2, ""11"": 2, ""12"": 4, ""13"": 2, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 4, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 10, ""23"": 3, ""24"": 21, ""25"": 6, ""26"": 1, ""27"": 1, ""28"": 18, ""29"": 5, ""30"": 7, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 12, ""35"": 1, ""36"": 10, ""37"": 5, ""38"": 1, ""39"": 7, ""40"": 21, ""41"": 2, ""42"": 3, ""43"": 4, ""45"": 1, ""46"": 2, ""47"": 18, ""48"": 2, ""49"": 8, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 11, ""54"": 1, ""55"": 12, ""57"": 1, ""58"": 2, ""59"": 2, ""61"": 1}"
8,f0227_27,367,58,294,73,"{""0"": 13, ""1"": 13, ""2"": 11, ""3"": 11, ""4"": 9, ""5"": 11, ""6"": 12, ""7"": 11, ""8"": 11, ""9"": 9, ""10"": 1, ""11"": 2, ""12"": 9, ""13"": 1, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 15, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 7, ""23"": 3, ""24"": 25, ""25"": 4, ""26"": 1, ""27"": 1, ""28"": 18, ""29"": 3, ""30"": 10, ""31"": 3, ""32"": 2, ""34"": 1, ""35"": 1, ""36"": 12, ""37"": 4, ""39"": 9, ""40"": 21, ""42"": 2, ""43"": 5, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 10, ""48"": 1, ""49"": 16, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 21, ""54"": 1, ""55"": 18, ""56"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
9,f0274_49,353,56,282,71,"{""0"": 11, ""1"": 13, ""2"": 12, ""3"": 13, ""4"": 13, ""5"": 11, ""6"": 12, ""7"": 10, ""8"": 10, ""9"": 11, ""10"": 3, ""11"": 1, ""12"": 7, ""13"": 2, ""14"": 1, ""15"": 7, ""16"": 1, ""17"": 1, ""18"": 16, ""19"": 1, ""20"": 1, ""21"": 5, ""22"": 7, ""24"": 22, ""25"": 7, ""26"": 1, ""27"": 4, ""28"": 15, ""29"": 3, ""30"": 10, ""31"": 4, ""32"": 3, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 5, ""37"": 3, ""38"": 1, ""39"": 8, ""40"": 12, ""41"": 1, ""42"": 1, ""43"": 7, ""44"": 1, ""46"": 1, ""47"": 17, ""49"": 16, ""50"": 1, ""53"": 9, ""54"": 1, ""55"": 20, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
